"last name","first name","birthdays"
"Zukowski","Jeanette","1967-06-20"
"Zoller","Lesa","1942-11-15"
"Zimmerman","Bradley","1967-08-23"
"Zimmerman","Alvin","1958-12-05"
"Zimmerman","Joseph","1982-05-15"
"Zimmerman","John","1942-10-01"
"Zielinski","Brandon","1964-09-10"
"Zepeda","Virgilio","1981-12-18"
"Zeledon","Reuben","1951-02-09"
"Zelaya","Heather","1952-09-26"
"Zelaya","Deborah","1957-02-02"
"Zapata","Joseph","1968-09-30"
"Zamora","Amber","1975-12-17"
"Zajac","Dale","1985-06-06"
"Yunker","Erik","1951-03-04"
"Yuen","Altagracia","1945-06-04"
"Yuen","Wilford","1985-07-26"
"Youngblood","Joe","1947-12-10"
"Young","Heather","1951-11-08"
"Young","Harold","1959-12-07"
"Young","Eric","1948-03-29"
"Young","Gabriel","1967-02-12"
"Young","Andrew","1984-06-12"
"Young","Donna","1941-08-10"
"Young","Lela","1972-08-06"
"Young","Gloria","1949-02-18"
"Young","Norma","1976-09-02"
"Young","Clare","1942-03-04"
"Young","Carmen","1962-04-19"
"Young","Shirley","1978-03-19"
"Young","Martha","1957-11-11"
"Young","Nicholas","1982-02-03"
"York","Celia","1969-07-23"
"Yoder","Brenda","1940-05-30"
"Yocum","Roger","1973-11-28"
"Yee","Leo","1966-08-28"
"Yazzie","Patricia","1974-07-01"
"Yates","Annie","1947-12-21"
"Yates","Suzanne","1959-11-09"
"Yates","Virgie","1942-10-27"
"Yarbrough","Andrew","1963-05-10"
"Yarbrough","Henry","1947-05-31"
"Yarbrough","Betty","1942-02-17"
"Yarbrough","William","1979-04-18"
"Yarborough","Courtney","1940-03-05"
"Yarborough","William","1941-10-16"
"Yang","Robin","1957-01-29"
"Yang","Gary","1977-12-10"
"Xiong","Margaret","1949-03-03"
"Wynn","Kelly","1970-12-21"
"Wymore","Charles","1982-10-17"
"Wyatt","Kelly","1974-11-18"
"Wu","Rose","1978-09-13"
"Wright","Juan","1956-09-06"
"Wright","Diane","1953-09-17"
"Wright","Howard","1961-01-16"
"Wright","Corey","1961-07-06"
"Wright","Frances","1974-06-21"
"Wright","Liliana","1971-06-27"
"Wright","Odis","1976-08-12"
"Wray","Marian","1946-05-18"
"Worthy","Jacqueline","1983-01-16"
"Worsham","Larry","1959-12-21"
"Workman","Robert","1965-11-26"
"Woolverton","Christopher","1955-02-24"
"Woody","Aaron","1953-04-14"
"Woodson","Melissa","1979-06-30"
"Woods","Mary","1960-10-07"
"Woods","Stephen","1982-01-04"
"Woods","Harold","1981-05-01"
"Woodby","Jose","1954-07-13"
"Woodbury","Carol","1944-03-01"
"Woodall","Barbara","1959-12-20"
"Woodall","Katelyn","1978-09-11"
"Wood","Steven","1980-03-31"
"Wood","Thelma","1957-02-05"
"Wood","Marie","1943-01-09"
"Wood","Peter","1940-02-17"
"Wong","Susan","1947-06-15"
"Wolfe","Barbara","1953-04-04"
"Wolfe","Jason","1948-10-04"
"Wolf","Kimberly","1972-10-02"
"Wofford","Steven","1948-11-17"
"Withers","Jennifer","1946-10-07"
"Withers","Joan","1945-01-02"
"Witham","Jeffrey","1971-04-21"
"Wise","Donald","1945-07-10"
"Wise","Nathan","1960-12-09"
"Wise","Johnnie","1946-03-13"
"Winter","Andrew","1949-06-18"
"Winter","Bonnie","1978-09-12"
"Winner","Paul","1963-07-17"
"Wingert","Mellisa","1955-08-11"
"Winger","Janis","1960-08-09"
"Wingate","Ella","1975-01-10"
"Winchell","Ralph","1941-11-16"
"Wilson","Curtis","1946-08-08"
"Wilson","Mike","1946-11-19"
"Wilson","Christopher","1978-02-15"
"Wilson","Juanita","1947-06-22"
"Wilson","Sylvia","1960-10-01"
"Wilson","Shawn","1941-05-01"
"Wilson","Elfreda","1967-05-20"
"Wilson","Ronnie","1945-08-16"
"Wilson","Johnny","1971-10-05"
"Wilson","Melvin","1962-01-23"
"Wilson","Gary","1952-07-25"
"Wilson","Cristina","1964-01-22"
"Wilson","Christopher","1962-09-15"
"Wilson","Jamie","1956-03-08"
"Wilson","Marie","1941-04-04"
"Wilson","Fay","1948-04-21"
"Wilson","Christian","1968-06-04"
"Willson","Nancy","1944-01-15"
"Willoughby","Francis","1969-02-10"
"Willis","Sandra","1950-12-01"
"Willis","Grace","1979-07-22"
"Willis","Vivien","1980-07-28"
"Willis","Cheryl","1984-11-21"
"Willis","William","1949-02-03"
"Willilams","Francisco","1940-05-06"
"Williams","Lissette","1973-04-22"
"Williams","Steven","1977-07-13"
"Williams","Brian","1978-02-24"
"Williams","Lena","1979-02-02"
"Williams","Ora","1940-01-09"
"Williams","Teresa","1951-04-11"
"Williams","Katrina","1981-08-31"
"Williams","Melvin","1985-10-07"
"Williams","George","1947-05-14"
"Williams","Susann","1979-06-17"
"Williams","David","1963-03-12"
"Williams","Sharon","1974-03-04"
"Williams","Lorena","1985-05-10"
"Williams","Randy","1974-01-20"
"Williams","Sandra","1956-12-11"
"Williams","Mark","1946-05-05"
"Williams","Calvin","1963-08-27"
"Williams","Donald","1960-06-13"
"Williams","Tony","1974-03-18"
"Williams","Angela","1940-07-05"
"Williams","Robert","1959-03-08"
"Williams","Kimberly","1979-09-09"
"Williams","Margart","1964-10-12"
"Williams","Steven","1963-06-07"
"Williams","Jose","1973-12-15"
"Williams","James","1953-05-24"
"Williams","Celia","1962-10-08"
"Williams","William","1947-04-28"
"Williams","Elmer","1950-09-09"
"Williams","Michael","1964-12-16"
"Williams","Kasey","1955-12-23"
"Williams","Kenneth","1944-05-26"
"Williams","Georgia","1951-08-18"
"Williams","Andrew","1981-06-03"
"Williams","Michelle","1976-12-24"
"Williams","Michael","1975-07-07"
"Williams","Daniel","1979-08-17"
"Williams","Christian","1969-06-02"
"Williams","Grace","1957-11-20"
"Williams","Leonard","1947-07-25"
"Williams","Richard","1957-10-01"
"Williams","Charles","1941-02-10"
"Williams","Danita","1961-04-28"
"Williams","Valencia","1975-01-20"
"William","Leona","1952-07-01"
"Wilkinson","Pamala","1948-03-26"
"Wilkins","Debra","1980-12-17"
"Wilkes","George","1979-06-06"
"Wilkerson","Kathleen","1979-06-25"
"Wilkerson","David","1979-03-21"
"Wilkerson","Manuel","1952-07-03"
"Wilhite","Valerie","1958-07-08"
"Wiley","William","1947-05-24"
"Wiley","Stacy","1980-04-06"
"Wilder","Cesar","1952-06-04"
"Wilbur","Joan","1964-04-25"
"Wike","Harold","1964-06-28"
"Wiggins","Kristen","1967-02-27"
"Wiggins","Juan","1974-09-20"
"Wigfall","Robin","1974-04-13"
"Wiens","Sophie","1963-01-24"
"Wiedman","Richard","1961-12-13"
"Wiedeman","Charles","1984-11-26"
"Wicks","Juli","1978-08-08"
"Wicklund","Sharlene","1970-07-15"
"Wicker","Sonya","1948-07-11"
"Whitworth","Lloyd","1952-12-28"
"Whittington","Agnes","1944-07-06"
"Whittaker","Barbara","1941-09-11"
"Whitson","Karen","1969-02-15"
"Whitman","Kenneth","1972-08-19"
"Whitley","Jason","1941-10-07"
"Whiteside","George","1962-05-27"
"Whitehead","Thomas","1982-07-03"
"White","Mervin","1969-05-27"
"White","Cynthia","1946-05-31"
"White","Laura","1970-12-19"
"White","Daryl","1940-06-11"
"White","Sharon","1953-08-12"
"White","Fumiko","1953-11-17"
"White","Herb","1958-01-28"
"White","Marianna","1954-08-01"
"White","Dennis","1943-09-19"
"Whitcher","Amy","1945-01-05"
"Whitby","Judith","1964-08-13"
"Whipple","Gloria","1945-04-24"
"Wheeler","Jennifer","1955-01-03"
"Wheeler","Kathy","1974-02-08"
"Wheeler","Victor","1947-07-25"
"Wheeler","Eric","1950-06-01"
"Wheeler","Priscilla","1979-06-07"
"Wheatley","Anthony","1940-01-07"
"Whaley","Jon","1958-01-05"
"Whalen","William","1971-03-11"
"Whalen","Albert","1974-07-02"
"Wetzel","Robert","1970-12-29"
"Westphal","Larry","1979-12-29"
"Westphal","Deborah","1940-12-17"
"Westover","Ellen","1966-11-06"
"Weston","Edward","1947-02-10"
"Westmoreland","John","1976-08-05"
"Westley","Sandra","1959-10-13"
"Westgate","Bertha","1974-02-02"
"Westfall","Frank","1984-07-30"
"Wester","Rafael","1974-10-23"
"West","Gerald","1947-04-07"
"West","Danielle","1976-09-19"
"West","Leslie","1962-09-27"
"West","Laura","1955-04-02"
"West","Margaret","1957-07-15"
"West","Carol","1949-02-01"
"Wells","Barbara","1949-01-29"
"Wells","Shawn","1962-02-19"
"Wells","James","1948-09-18"
"Wells","Donald","1969-12-26"
"Wells","Mario","1956-12-14"
"Wells","Dorothy","1964-10-10"
"Weiss","Sherry","1975-05-12"
"Weis","Brandi","1946-07-05"
"Weir","Soledad","1985-10-25"
"Weinstock","Gwen","1974-02-10"
"Weinstein","Amy","1982-11-14"
"Weinstein","Oliva","1957-07-31"
"Weingarten","Alexander","1951-09-23"
"Weingarten","Henry","1950-10-29"
"Weiner","Jessica","1970-04-05"
"Weidner","Anthony","1966-10-08"
"Wehrle","Scott","1983-08-29"
"Weekley","Stanley","1980-06-03"
"Webster","Hazel","1962-08-20"
"Webster","Sylvia","1972-07-21"
"Weber","Lionel","1946-07-16"
"Weber","Andrea","1983-07-29"
"Webb","Vickie","1956-06-04"
"Webb","June","1977-01-25"
"Webb","Susan","1954-01-04"
"Webb","Mozelle","1967-09-11"
"Webb","Walter","1968-06-02"
"Webb","Anna","1948-06-25"
"Webb","Tresa","1962-06-28"
"Webb","Walter","1945-02-18"
"Wear","James","1945-03-08"
"Wayt","Betty","1940-05-14"
"Watters","Arthur","1967-09-10"
"Watson","Renee","1983-05-24"
"Watson","Melvin","1968-06-12"
"Watson","Margaret","1948-05-03"
"Watson","Audrie","1967-03-27"
"Watson","David","1983-05-23"
"Watkins","Lucille","1983-07-11"
"Watkins","Gerald","1956-09-03"
"Watkins","Robert","1982-12-28"
"Waters","Jimmy","1952-05-30"
"Waters","Tommy","1961-10-07"
"Waters","Catalina","1955-07-29"
"Washington","Mary","1943-10-06"
"Washington","Terry","1963-01-14"
"Washington","Linda","1958-03-17"
"Warrick","Ali","1961-06-06"
"Warren","Johnny","1956-08-17"
"Ware","David","1960-11-14"
"Ware","Kendall","1950-12-07"
"Ware","Lani","1972-04-10"
"Wardle","Barbara","1968-05-09"
"Ward","Dawn","1973-07-28"
"Ward","Bianca","1979-05-13"
"Ward","Jamie","1960-06-19"
"Ward","Thomas","1948-07-08"
"Ward","Gail","1951-08-26"
"Ward","Rosalie","1947-09-04"
"Ward","Anthony","1943-12-27"
"Ward","Dolores","1983-08-10"
"Wang","Adam","1960-06-27"
"Wang","Ida","1960-12-05"
"Wang","Fonda","1964-03-24"
"Walton","Denise","1967-06-27"
"Walton","James","1940-09-14"
"Walton","Lonny","1983-09-23"
"Walton","Lynn","1980-12-24"
"Walters","Randy","1960-04-02"
"Walters","Scott","1947-07-20"
"Walston","Edwin","1957-06-02"
"Walls","Isaac","1978-12-13"
"Wallace","Patricia","1959-02-09"
"Wallace","Barbara","1962-07-15"
"Wallace","Patrica","1952-08-31"
"Wallace","Emmy","1979-08-27"
"Wallace","Jamie","1979-06-05"
"Walker","Alicia","1940-09-04"
"Walker","Brian","1956-08-13"
"Walker","Roger","1971-09-07"
"Walker","Anthony","1966-04-26"
"Walker","Michael","1955-11-23"
"Walker","Bruce","1957-04-06"
"Wagoner","Sally","1961-10-27"
"Wagner","Stanley","1970-06-20"
"Wagner","Marc","1971-01-04"
"Waggoner","Preston","1962-04-16"
"Wagaman","Vernon","1975-01-23"
"Wade","Kenya","1963-03-31"
"Wade","Robert","1974-11-23"
"Volz","Julie","1984-10-06"
"Vogler","Cristen","1975-05-05"
"Voegele","Diana","1980-08-09"
"Vitale","Anthony","1960-07-03"
"Vinson","Roxanne","1972-03-02"
"Villarreal","Carol","1968-03-17"
"Viles","Jessica","1985-06-14"
"Vigil","Tina","1941-12-16"
"Vigil","John","1985-10-25"
"Vickers","Robert","1965-06-05"
"Vickers","Katie","1977-09-24"
"Vestal","Archie","1953-08-19"
"Venuti","Mae","1970-11-16"
"Velazquez","David","1967-02-14"
"Velazquez","William","1971-05-21"
"Velasquez","Charles","1956-03-20"
"Velasquez","John","1949-03-10"
"Vazquez","Dan","1985-11-23"
"Vaughn","Douglas","1943-04-09"
"Vaughn","Angel","1949-02-04"
"Vaughan","Robert","1967-06-19"
"Vasquez","Tammy","1954-01-26"
"Vasquez","Michael","1985-09-04"
"Varney","Eleni","1946-03-23"
"Varner","Christopher","1960-10-30"
"Vargas","Paula","1978-09-23"
"Vargas","Mariann","1940-02-14"
"Vargas","Lewis","1943-07-17"
"Vargas","Richard","1959-11-04"
"Vanvalkenburg","Pamela","1977-11-06"
"Vanscoy","Elizabeth","1969-07-07"
"Vanmeter","Ardith","1955-11-27"
"Vang","Charles","1983-05-07"
"Vance","Melissa","1947-08-26"
"Vanbuskirk","Jerry","1985-01-29"
"Vallejo","Kathleen","1973-07-29"
"Valle","Kimberly","1985-03-06"
"Valladares","Carol","1953-07-09"
"Valentine","Donald","1959-07-09"
"Vail","Christopher","1965-09-19"
"Urso","Melissa","1979-04-22"
"Urbina","Marcus","1956-09-09"
"Urbano","Scott","1958-01-11"
"Tyrell","Carla","1979-10-02"
"Tuttle","Glenda","1977-03-08"
"Turpin","Roberta","1942-06-14"
"Turner","Daniel","1962-11-11"
"Turner","Edward","1950-09-20"
"Turner","John","1967-05-08"
"Turner","Gary","1955-07-27"
"Turner","Helen","1949-01-12"
"Turner","Lydia","1963-05-02"
"Turner","Stan","1985-05-23"
"Turner","John","1985-07-05"
"Turco","Brett","1942-04-09"
"Tunnell","Raymond","1942-08-29"
"Tune","Robert","1966-01-28"
"Tumlin","Kathleen","1943-03-30"
"Tucker","William","1968-11-18"
"Tucker","Andrew","1941-05-19"
"Tucker","Adam","1953-04-06"
"Tucker","Calvin","1967-07-20"
"Tse","Deanna","1973-11-18"
