"First","Last","Phone_h","Phone_m","Phone_w","Address","City","State","Zip","LessThan10K","MoreThan10K","MoreThan25K","MoreThan50K"
"Sofia","Warfield","(423) 165-7500","(459) 671-1175","(288) 418-0508","1715 Scott Dr","San Francisco","CA","90006","0.24","0.51","0.21","0.04"
"Stefan","Severin","(582) 300-4042","(268) 145-0601","(962) 144-6362","9 IBM Path","San Francisco","CA","90011","0.23","0.52","0.22","0.03"
"Guy","Fluker","(608) 178-1109","(448) 520-3372","(348) 517-9282","345 Sugar Blvd.","San Francisco","CA","90044","0.23","0.45","0.25","0.07"
"Santo","Marro","(517) 486-1537","(459) 055-2767","(929) 810-5452","999 Baker Way","San Francisco","CA","90058","0.24","0.43","0.21","0.12"
"Casandra","Lung","(649) 658-7938","(406) 409-7423","(674) 046-0599","999 Baker Way","San Francisco","CA","91755","0.21","0.29","0.27","0.23"
"Benito","Monge","(017) 400-0084","(419) 597-9420","(305) 459-3448","1715 Scott Dr","San Francisco","CA","92162","0.21","0.29","0.36","0.14"
"Shelia","Lane","(662) 481-1808","(933) 676-2995","(808) 281-5277","345 Sugar Blvd.","San Francisco","CA","92266","0.32","0.32","0.22","0.14"
"Alexis","Woolard","(462) 487-1965","(417) 645-9428","(631) 115-4623","111 Silicon Valley Road","San Francisco","CA","92311","0.21","0.27","0.27","0.26"
"Raymundo","Charron","(195) 156-9188","(542) 338-3618","(254) 663-1340","1715 Scott Dr","San Francisco","CA","93117","0.21","0.24","0.23","0.31"
"Nathaniel","Gazaway","(335) 050-2954","(960) 464-3114","(660) 172-2149","321 University Ave.","San Francisco","CA","93201","0.3","0.41","0.19","0.11"
"Catalina","Hibbitts","(765) 054-4544","(316) 119-8163","(815) 371-5017","345 Sugar Blvd.","San Francisco","CA","93256","0.22","0.42","0.28","0.07"
"Stacey","Mangano","(590) 020-6679","(910) 082-3416","(659) 316-3286","777 West Filmore","San Francisco","CA","93261","0.38","0.49","0.12","0.02"
"Lilia","Alfonso","(143) 382-0853","(784) 580-6791","(289) 887-8634","345 Sugar Blvd.","San Francisco","CA","93283","0.26","0.32","0.25","0.18"
"Luis","Backer","(360) 988-8957","(393) 802-0678","(933) 767-5860","67321 West Siam St.","San Francisco","CA","93283","0.26","0.32","0.25","0.18"
"Casey","Heider","(772) 609-4807","(953) 107-0262","(819) 979-5433","111 Silicon Valley Road","San Francisco","CA","93301","0.24","0.35","0.22","0.18"
"Marlon","Okeefe","(882) 897-7204","(273) 198-2876","(201) 385-5636","999 Baker Way","San Francisco","CA","93307","0.24","0.41","0.24","0.11"
"Marcellus","Gudino","(672) 325-8490","(675) 576-4087","(018) 412-4106","123 Anywhere Street","San Francisco","CA","93601","0.21","0.26","0.26","0.27"
"Tamra","Friedman","(732) 925-9863","(478) 541-6179","(715) 891-0202","345 Sugar Blvd.","San Francisco","CA","93615","0.33","0.47","0.17","0.04"
"Leticia","Bolte","(013) 365-2319","(894) 672-9002","(872) 355-3173","123 Anywhere Street","San Francisco","CA","93621","0.21","0.27","0.27","0.25"
"Reinaldo","Morse","(051) 007-4974","(947) 405-1319","(186) 651-3840","67321 West Siam St.","San Francisco","CA","93637","0.21","0.31","0.26","0.23"
"Chris","Dilley","(234) 070-3084","(732) 856-9799","(092) 967-1991","1715 Scott Dr","San Francisco","CA","93790","0.22","0.25","0.31","0.22"
"Scottie","Norden","(920) 708-9380","(745) 800-6155","(539) 184-2381","345 Sugar Blvd.","San Francisco","CA","94922","0.23","0.26","0.21","0.3"
"Stephen","Gosney","(179) 106-4587","(164) 317-7768","(625) 583-8839","999 Baker Way","San Francisco","CA","94940","0.27","0.19","0.29","0.25"
"Jannie","Darnell","(368) 464-0370","(741) 829-7910","(681) 475-7353","777 West Filmore","San Francisco","CA","95064","0.39","0.23","0.17","0.2"
"Marcelo","Diego","(757) 654-3712","(923) 290-8218","(346) 282-4007","777 West Filmore","San Francisco","CA","95303","0.21","0.38","0.23","0.18"
"Isidro","Ebersole","(119) 873-9363","(806) 548-5777","(160) 883-2859","1715 Scott Dr","San Francisco","CA","95328","0.24","0.37","0.3","0.09"
"Carla","Lobel","(118) 563-8770","(709) 352-7469","(105) 922-7270","111 Silicon Valley Road","San Francisco","CA","95358","0.21","0.3","0.27","0.23"
"Cecile","Charland","(377) 666-8353","(945) 684-2078","(690) 784-5674","1715 Scott Dr","San Francisco","CA","95365","0.28","0.49","0.2","0.04"
"Carolyn","Knights","(863) 683-1466","(512) 549-4902","(206) 944-6057","321 University Ave.","San Francisco","CA","95386","0.22","0.28","0.28","0.22"
"Shari","Manno","(646) 435-6986","(691) 980-5710","(376) 683-4394","48920 San Carlos","San Francisco","CA","95423","0.23","0.31","0.26","0.19"
"Estela","Minks","(370) 073-6124","(713) 894-1971","(904) 113-9101","999 Baker Way","San Francisco","CA","95456","0.23","0.28","0.27","0.22"
"Emma","Ralph","(168) 458-4932","(370) 226-6198","(965) 167-0634","999 Baker Way","San Francisco","CA","95456","0.23","0.28","0.27","0.22"
"Fay","Stinnett","(528) 851-6246","(869) 071-1305","(765) 673-4702","123 Anywhere Street","San Francisco","CA","95468","0.25","0.32","0.27","0.17"
"Malinda","Varghese","(888) 817-8002","(350) 413-2800","(303) 599-2247","999 Baker Way","San Francisco","CA","95537","0.28","0.37","0.25","0.1"
"Reyes","Grove","(607) 865-5312","(294) 396-1493","(350) 999-1340","345 Sugar Blvd.","San Francisco","CA","95563","0.22","0.27","0.29","0.22"
"Norberto","Squire","(749) 323-1862","(085) 806-4887","(624) 480-2778","777 West Filmore","San Francisco","CA","95567","0.22","0.33","0.25","0.21"
"Boyd","Froelich","(337) 832-1417","(195) 835-1769","(607) 786-2583","9 IBM Path","San Francisco","CA","95676","0.22","0.27","0.27","0.25"
"Rodger","Constable","(955) 729-0095","(303) 836-6838","(376) 218-9431","48920 San Carlos","San Francisco","CA","95715","0.21","0.21","0.33","0.25"
"Alejandro","Teran","(650) 932-0392","(050) 574-4257","(305) 981-6166","321 University Ave.","San Francisco","CA","95800","0.21","0.26","0.21","0.31"
"Kerri","Borgen","(774) 501-0327","(224) 612-9285","(398) 856-5568","9 IBM Path","San Francisco","CA","95926","0.27","0.27","0.22","0.25"
"Quentin","Keel","(082) 017-3663","(235) 355-8565","(013) 977-1823","67321 West Siam St.","San Francisco","CA","96048","0.26","0.24","0.31","0.19"
